Order ID,Date,Product,Category,Region,Customer,Quantity,Unit Price,Revenue
1000,2024-01-01,Webcam HD,Electronics,South,Customer 9,1,63.44,63.44
1001,2024-01-01,Filing Cabinet,Furniture,North,Customer 38,1,160.38,160.38
1002,2024-01-01,Notebook Set,Stationery,Central,Customer 39,1,10.89,10.89
1003,2024-01-01,Wireless Mouse,Electronics,Central,Customer 27,5,23.74,118.7
1004,2024-01-01,Office Chair,Furniture,North,Customer 49,4,188.52,754.08
1005,2024-01-01,USB-C Hub,Electronics,South,Customer 49,6,40.23,241.38
1006,2024-01-02,Desk Lamp,Furniture,East,Customer 39,1,41.54,41.54
1007,2024-01-02,Standing Desk,Furniture,West,Customer 6,1,378.85,378.85
1008,2024-01-02,Whiteboard,Stationery,East,Customer 37,3,66.44,199.32
1009,2024-01-02,Office Chair,Furniture,East,Customer 6,6,165.13,990.78
1010,2024-01-02,Office Chair,Furniture,East,Customer 11,1,179.11,179.11
1011,2024-01-02,Desk Lamp,Furniture,North,Customer 39,3,42.86,128.58
1012,2024-01-02,Webcam HD,Electronics,West,Customer 25,2,72.35,144.7
1013,2024-01-03,Standing Desk,Furniture,East,Customer 54,6,375.21,2251.26
1014,2024-01-03,Wireless Mouse,Electronics,West,Customer 18,2,27.64,55.28
1015,2024-01-03,Mechanical Keyboard,Electronics,East,Customer 14,2,95.9,191.8
1016,2024-01-03,Webcam HD,Electronics,West,Customer 10,4,69.92,279.68
1017,2024-01-03,Standing Desk,Furniture,East,Customer 48,2,336.58,673.16
1018,2024-01-03,Bluetooth Speaker,Electronics,South,Customer 9,4,61.85,247.4
1019,2024-01-03,Whiteboard,Stationery,North,Customer 10,4,55.36,221.44
1020,2024-01-04,Webcam HD,Electronics,North,Customer 25,2,76.86,153.72
1021,2024-01-04,Notebook Set,Stationery,Central,Customer 56,5,13.79,68.95
1022,2024-01-04,Wireless Mouse,Electronics,Central,Customer 49,6,27.0,162.0
1023,2024-01-04,Standing Desk,Furniture,South,Customer 30,6,344.77,2068.62
1024,2024-01-04,Wireless Mouse,Electronics,Central,Customer 49,6,27.97,167.82
1025,2024-01-04,USB-C Hub,Electronics,East,Customer 54,5,45.13,225.65
1026,2024-01-04,Webcam HD,Electronics,South,Customer 35,5,73.66,368.3
1027,2024-01-05,Whiteboard,Stationery,North,Customer 60,1,62.98,62.98
1028,2024-01-05,Desk Lamp,Furniture,Central,Customer 6,3,43.19,129.57
1029,2024-01-05,Mechanical Keyboard,Electronics,Central,Customer 50,6,86.83,520.98
1030,2024-01-05,USB-C Hub,Electronics,South,Customer 17,2,42.6,85.2
1031,2024-01-05,Whiteboard,Stationery,Central,Customer 49,5,60.35,301.75
1032,2024-01-05,Filing Cabinet,Furniture,East,Customer 29,6,142.54,855.24
1033,2024-01-06,Whiteboard,Stationery,East,Customer 2,4,55.82,223.28
1034,2024-01-06,Bluetooth Speaker,Electronics,North,Customer 46,5,52.66,263.3
1035,2024-01-06,Webcam HD,Electronics,East,Customer 5,1,67.01,67.01
